movie_1,movie_2,movie_3,movie_4,movie_5,movie_6,movie_7,date,movie_watch,past_success
The House of Magic,Agent Cody Banks 2: Destination London,Star Wars: Episode III - Revenge of the Sith,Ha-Buah,Trade Of Innocents,The Pledge,Rabbit-Proof Fence,2024-09-24,The Mummy Returns,False
The Oxford Murders,City of Angels,A Scanner Darkly,Palo Alto,Pulp Fiction,Pink Narcissus,Ratatouille,2024-09-24,Traffic,True
Night at the Museum,They Live,High School Musical 3: Senior Year,Deep Blue Sea,Yes,Mad Max: Fury Road,Mother and Child,2024-09-24,Warm Bodies,False
From a Whisper to a Scream,Bogus,The Mechanic,Meet Dave,Grudge Match,Rush Hour 2,Bullet to the Head,2024-09-24,A Most Wanted Man,False
The Hangover,Avatar,Nine,Dante's Peak,Identity,She's the Man,The Marine,2024-09-25,A Perfect Getaway,False
Sex Tape,Risen,The Hotel New Hampshire,Water & Power,Superman II,Krampus,Scary Movie 2,2024-09-25,Love and Other Catastrophes,True
The World's End,The Fault in Our Stars,The X Files: I Want to Believe,The Sleepwalker,Snow Falling on Cedars,The Tailor of Panama,World War Z,2024-09-25,The Hateful Eight,False
Wall Street,Practical Magic,Lethal Weapon 4,Million Dollar Arm,Rush Hour 2,Nightcrawler,归来,2024-09-25,There Will Be Blood,False
Code Name: The Cleaner,The Way of the Gun,The Good Heart,Freaky Deaky,A Room with a View,The Gift,City of Ember,2024-09-25,The Young Unknowns,False
The Stewardesses,Case 39,Party Monster,Beautiful Creatures,Little Black Book,Grand Theft Parsons,Hobo with a Shotgun,2024-09-25,Saw,False
Roar,House of D,R100,Bolt,42nd Street,Open Season,Space Battleship Yamato,2024-09-26,Please Give,False
Cadillac Records,Æon Flux,Elizabeth,Nacho Libre,Parental Guidance,天將雄師,The Omen,2024-09-26,Heaven's Gate,False
Big Miracle,Black Swan,Days of Thunder,I Heart Huckabees,归来,The Replacement Killers,Beerfest,2024-09-26,Bizarre,False
Home Run,Code of Honor,Road Hard,Die Hard,Valkyrie,My Beautiful Laundrette,A Bridge Too Far,2024-09-26,Traffic,False
Paranormal Activity,"Guten Tag, Ramón",Blood Done Sign My Name,Why Did I Get Married?,Not Cool,The Town,The Valley of Decision,2024-09-26,And So It Goes,False
The Wild Bunch,Idle Hands,Max,The Living Daylights,Drive Me Crazy,The Guilt Trip,East Is East,2024-09-26,Drop Dead Gorgeous,False
The Thing,Foolish,A Mighty Heart,Eden,Anaconda,The Collection,Spider,2024-09-27,Identity,False
Coffee Town,The Raven,Notting Hill,Brooklyn's Finest,Ghostbusters,Control,Can't Stop the Music,2024-09-27,Meet the Spartans,False
Harper,The Santa Clause,Win a Date with Tad Hamilton!,The Fifth Estate,This Is the End,Hollow Man,Superbabies: Baby Geniuses 2,2024-09-27,Pride & Prejudice,False
The Importance of Being Earnest,The Adventures of Sharkboy and Lavagirl,Charlie Wilson's War,A Beautiful Mind,The 6th Day,The Skulls,Garfield,2024-09-27,The Spectacular Now,False
Le Nom des gens,2 Guns,Babe,Memento,The Party's Over,Fantastic Mr. Fox,Nomad,2024-09-27,In Time,True
The Loved Ones,Cliffhanger,That's My Boy,Are We There Yet?,Interview with the Vampire,Beverly Hills Chihuahua,Indiana Jones and the Last Crusade,2024-09-27,The Grace Card,False
Isn't She Great,John Carter,Red State,Shadowlands,Hell's Angels,Match Point,Central do Brasil,2024-09-28,Stone,False
Captain Corelli's Mandolin,"I Love You, Don't Touch Me!",The Happening,Doogal,The Veil,Les Visiteurs 2 : Les Couloirs du temps,Snake Eyes,2024-09-28,A Perfect Getaway,True
Hulk,Identity Thief,Percy Jackson: Sea of Monsters,Blast from the Past,My Last Day Without You,The Brave Little Toaster,The Bourne Ultimatum,2024-09-28,Urban Legend,False
Clerks,Waterworld,Small Apartments,Riding Giants,Fight to the Finish,The Believer,Mission: Impossible - Rogue Nation,2024-09-28,Into the Blue,False
Texas Chainsaw 3D,Basic Instinct 2,Salton Sea,Click,Four Christmases,The Huntsman: Winter's War,American Hero,2024-09-28,The Gift,False
Chasing Papi,Hidalgo,Camping Sauvage,One Direction: This Is Us,The Last Dragon,Mandela: Long Walk to Freedom,Fight Valley,2024-09-28,Tinker Tailor Soldier Spy,False
It's Complicated,A Streetcar Named Desire,Hurricane Streets,The Godfather,All Hat,Repo Man,Ace Ventura: Pet Detective,2024-09-29,The Deported,False
Brotherly Love,The Hunger Games: Mockingjay - Part 1,Charlie's Angels: Full Throttle,The Cookout,Blue Crush,Last Holiday,Khiladi 786,2024-09-29,Home,False
Kicking & Screaming,Jingle All the Way,Meet the Fockers,Swingers,F.I.S.T.,Gettysburg,Law Abiding Citizen,2024-09-29,Dear Frankie,False
Dune,Sleep Dealer,The Hit List,Clockstoppers,Reservoir Dogs,Detention,Night of the Living Dead,2024-09-29,Thr3e,False
Treachery,Cellular,The Oh in Ohio,Veronika Decides to Die,Mar adentro,Bad Boys,America's Sweethearts,2024-09-29,Yes,False
Underworld,Lions for Lambs,Trust the Man,Queen of the Damned,Deadfall,Holy Motors,Middle of Nowhere,2024-09-29,C'era una volta il West,False
The Sessions,Kung Fu Panda 2,Death at a Funeral,Escape from Planet Earth,Everybody's Fine,Bandits,The Bank Job,2024-09-30,Rang De Basanti,False
"Ultramarines: A Warhammer 40,000 Movie",L'Auberge espagnole,Gulliver's Travels,Men in Black,Live and Let Die,Rush Hour 3,Simply Irresistible,2024-09-30,Mr. Deeds,False
Scary Movie 3,Employee of the Month,Conan the Barbarian,Chappie,Taxi Driver,Pi,The Adventures of Pluto Nash,2024-09-30,Return of the Jedi,False
Man of the Year,Mud,Sharknado,Kate & Leopold,The Last Five Years,The Sweet Hereafter,The Marine 4: Moving Target,2024-09-30,Adulterers,False
Spy Kids 3-D: Game Over,Hard Rain,Karachi se Lahore,The Prince,The Immigrant,Proof of Life,Dreaming of Joseph Lees,2024-09-30,Something Wicked,False
Driving Miss Daisy,Goldfinger,The Huntsman: Winter's War,Dead Poets Society,Daddy's Home,Devil's Due,Captain Corelli's Mandolin,2024-09-30,Black or White,False
The Rose,Airlift,Escape Plan,Superstar,Crank: High Voltage,Fury,Playing for Keeps,2024-10-01,Beloved,False
Sin City: A Dame to Kill For,Winter Passing,Trade,Movie 43,The Other Side of Heaven,The Legend of Zorro,Nancy Drew,2024-10-01,Alice in Wonderland,False
Jab Tak Hai Jaan,The In Crowd,City Hall,Movie 43,Digimon: The Movie,Crimson Tide,Maggie,2024-10-01,Seven Psychopaths,True
Supporting Characters,Mud,My Fellow Americans,High Fidelity,Something's Gotta Give,Bad Teacher,Dope,2024-10-01,Please Give,False
Hugo,Sweet Home Alabama,Grandma's Boy,Diary of a Wimpy Kid,Choke,Extremely Loud & Incredibly Close,The Kids Are All Right,2024-10-01,Big,False
The Saint,Crooklyn,Jungle Shuffle,Hoop Dreams,Jack Brooks: Monster Slayer,The Pink Panther,All Is Bright,2024-10-01,Fugly,False
Tinker Tailor Soldier Spy,The Wendell Baker Story,Not Cool,Peaceful Warrior,Proof of Life,Ride Along,The Ultimate Gift,2024-10-02,Cheap Thrills,True
The Guru,D-Tox,Hart's War,Centurion,Sisters in Law,Rambo III,Now Is Good,2024-10-02,Water,False
Jurassic Park,Sweet Sweetback's Baadasssss Song,Rise of the Planet of the Apes,Ravenous,Dear Wendy,Joyeux Noël,The Love Guru,2024-10-02,The Cottage,False
The Perfect Wave,Florence Foster Jenkins,The Perfect Wave,The Intern,Something Borrowed,The Artist,Phenomenon,2024-10-02,Harry Potter and the Goblet of Fire,False
The Andromeda Strain,Love and Death on Long Island,Confidence,Admission,Don McKay,The Velocity of Gary,The Secret Life of Walter Mitty,2024-10-02,Kickboxer: Vengeance,False
The Reaping,The Bad News Bears,FearDotCom,Old Joy,Monty Python and the Holy Grail,Cellular,Silent Running,2024-10-02,Niagara,False
An Unfinished Life,Appaloosa,Mission: Impossible II,Vals Im Bashir,The Perfect Host,My Boss's Daughter,Superbad,2024-10-03,The Spy Next Door,False
非常幸运,Brokedown Palace,Haywire,The Boondock Saints II: All Saints Day,Space Chimps,The Box,Wild Wild West,2024-10-03,Taken,False
Children of Men,It's a Wonderful Life,Tombstone,Running with Scissors,The Last Witch Hunter,The Motel,Blood and Chocolate,2024-10-03,Hesher,False
Extreme Movie,Max Payne,Fight to the Finish,Trading Places,Miss Potter,The Gambler,Sphinx,2024-10-03,And So It Goes,False
Naturally Native,Housefull,Stuart Little,She's Gotta Have It,Dead Man Down,Lucky Break,Hey Arnold! The Movie,2024-10-03,Punch-Drunk Love,False
Mean Machine,Eden Lake,W.,Open Water,The Bounty,The Work and the Glory,White Noise 2: The Light,2024-10-03,Don't Say a Word,False
Submarine,Orgazmo,Hearts in Atlantis,Los insólitos peces gato,Flags of Our Fathers,Mission: Impossible,Lawrence of Arabia,2024-10-04,Dirty Grandpa,False
Pink Flamingos,Serenity,May,City of Angels,The Secret,The Lovers,One True Thing,2024-10-04,Bubba Ho-tep,False
The Remains of the Day,The Cabin in the Woods,It Happened One Night,Home Alone,The Conversation,Chasseurs de dragons,Winter's Bone,2024-10-04,Sinister,False
The Ballad of Jack and Rose,2 Guns,Lara Croft Tomb Raider: The Cradle of Life,辛亥革命,The Last Airbender,Little Man,The Hangover Part II,2024-10-04,Last Action Hero,False
On Her Majesty's Secret Service,The Sessions,Flight of the Intruder,Wild,Admission,Who Killed the Electric Car?,The Greatest,2024-10-04,Unsullied,False
The Cabin in the Woods,Don Gato: El inicio de la pandilla,The Firm,Rapa Nui,Goddess of Love,Slums of Beverly Hills,Географ глобус пропил,2024-10-04,The Valley of Decision,False
El secreto de sus ojos,Jungle Shuffle,Valiant,Charlie Wilson's War,Country Strong,A Very Harold & Kumar Christmas,Ant-Man,2024-10-05,The Bourne Ultimatum,False
Becoming Jane,Donkey Punch,In the Name of the King: A Dungeon Siege Tale,Dying of the Light,Tom Jones,南京!南京!,Mo' Better Blues,2024-10-05,Legends of the Fall,False
Joy,Misconduct,Wag the Dog,Winter's Tale,Faith Like Potatoes,Dabba,The Pallbearer,2024-10-05,Rise of the Planet of the Apes,False
Containment,2:13,The Immigrant,The Kingdom,Aquamarine,Ironclad,The Last Sin Eater,2024-10-05,The Yellow Handkerchief,False
"Crazy, Stupid, Love.",Baggage Claim,Moonlight Mile,The Art of Getting By,American Hustle,Martha Marcy May Marlene,Escape from the Planet of the Apes,2024-10-05,How to Deal,True
Next Stop Wonderland,Couples Retreat,곡성,Exotica,West Side Story,Red Dawn,Olympus Has Fallen,2024-10-05,Fido,False
Joy Ride,Ice Princess,Going the Distance,DysFunktional Family,Jack the Giant Slayer,Hollywood Shuffle,Martha Marcy May Marlene,2024-10-06,Vacation,False
長江七號,Inkheart,Babel,The Barbarians,The Big Short,I Am Legend,Shine a Light,2024-10-06,Escape from L.A.,False
True Grit,Ace Ventura: When Nature Calls,Trainwreck,Mystic Pizza,Interview with the Assassin,Dreamer: Inspired By a True Story,A Few Good Men,2024-10-06,Un long dimanche de fiançailles,False
Be Kind Rewind,La Navaja De Don Juan,The Incredible Hulk,Slow West,The Forest,Whale Rider,The Man from U.N.C.L.E.,2024-10-06,Something Wicked,False
Trust the Man,It's Kind of a Funny Story,Dazed and Confused,Angela's Ashes,Annie,Atlantis: The Lost Empire,西游记之孙悟空三打白骨精,2024-10-06,Nothing,False
All the Pretty Horses,Tea with Mussolini,Driving Lessons,Mad Hot Ballroom,Contraband,In the Heart of the Sea,The Transporter Refueled,2024-10-06,The Matador,False
Beyond the Mat,Apollo 18,The Poker House,The Specialist,Batman Begins,Ransom,Connie and Carla,2024-10-07,Hot Pursuit,False
Inside Out,A Scanner Darkly,Somewhere in Time,Just Go with It,Sleeper,City Island,Hidalgo,2024-10-07,Driven,False
We're the Millers,Contagion,The Losers,Out Cold,The Other Woman,[REC],Bronson,2024-10-07,Unknown,False
Vessel,Red River,Clay Pigeons,The Last Dragon,Mission: Impossible II,Ice Age: The Meltdown,My Stepmother is an Alien,2024-10-07,The Usual Suspects,False
Young Sherlock Holmes,Edge of Darkness,The Loved Ones,The Brain That Wouldn't Die,May,Ed and His Dead Mother,The Secret Life of Bees,2024-10-07,Irréversible,False
The Shadow,The Visit,Exorcist II: The Heretic,My All American,From Here to Eternity,The Book of Life,White Fang,2024-10-07,Saw,False
Hot Pursuit,Labor Day,The Greatest Movie Ever Sold,Hav Plenty,The Green Hornet,Rambo III,Grand Theft Parsons,2024-10-08,Super,False
Astérix aux Jeux Olympiques,Delgo,Mystery Men,Per un pugno di dollari,Captain America: The First Avenger,Hai Marjawaan!,Marmaduke,2024-10-08,The Mexican,False
Shanghai Noon,Hollow Man,Whip It,Boomerang,Get Hard,Lake Placid,Rodeo Girl,2024-10-08,Air Bud,False
House of D,Black Christmas,Julia,Tarnation,The Marine 4: Moving Target,"Gandhi, My Father",Baggage Claim,2024-10-08,Penitentiary,False
Miss Julie,Ajami,The Four Seasons,Sinister,The Young Messiah,WALL·E,Tales from the Crypt: Demon Knight,2024-10-08,"Lovely, Still",False
Your Sister's Sister,Black Swan,Gunless,Chats perchés,Last I Heard,Cop Out,A True Story,2024-10-08,The Station Agent,True
I Love You Phillip Morris,Monster-in-Law,Did You Hear About the Morgans?,Big Daddy,Flirting with Disaster,The Sticky Fingers of Time,Days of Thunder,2024-10-09,Something's Gotta Give,False
Troop Beverly Hills,The Ides of March,Dope,Grandma's Boy,The Last Emperor,The Lost World: Jurassic Park,Phone Booth,2024-10-09,I Am Number Four,False
Harriet the Spy,Killing Them Softly,Manito,My Beautiful Laundrette,Travellers and Magicians,"Paris, je t'aime",Desert Blue,2024-10-09,Haywire,False
Crocodile Dundee in Los Angeles,Dr. Dolittle 2,Hitch,Logan's Run,I Spit on Your Grave,The Man with the Golden Gun,Scary Movie 5,2024-10-09,Me Before You,False
Abandoned,Dinosaur,Hostel,Aberdeen,The Muppet Christmas Carol,The Twilight Saga: Breaking Dawn - Part 2,Circumstance,2024-10-09,The Savages,False
Kingdom of the Spiders,Another Year,天將雄師,The Deep End of the Ocean,Outside Providence,The Perfect Game,Race,2024-10-09,Something Wicked,False
Highlander III: The Sorcerer,Madea Goes to Jail,The In Crowd,Walking Tall,Trade,2001: A Space Odyssey,Paycheck,2024-10-10,Unknown,False
归来,Narc,American Pie 2,Cinco de Mayo: La Batalla,The Runaways,Eye of the Dolphin,Superman III,2024-10-10,Batman Returns,False
Crimson Tide,Queen of the Damned,Left Behind,Major Dundee,Kiss the Bride,Bathing Beauty,Touching the Void,2024-10-10,Battle: Los Angeles,True
One Night with the King,Hollywood Homicide,Courageous,Reign of Fire,The Expendables 3,Star Trek: The Motion Picture,Monsters vs Aliens,2024-10-10,The Expendables,False
The Sum of All Fears,Trust,The Ballad of Cable Hogue,"20,000 Leagues Under the Sea",สุริโยไท,Gods and Generals,The Hotel New Hampshire,2024-10-10,The Devil's Own,False
Hamlet,Desperado,One Flew Over the Cuckoo's Nest,Freddy Got Fingered,Joe Somebody,Cats & Dogs,Rocky Balboa,2024-10-10,Choke,False
Subway,Melancholia,The FP,Tiger Orange,Let's Go to Prison,Magic Mike,Fido,2024-10-11,Fugly,False
The Nutcracker,Because of Winn-Dixie,The Notebook,A Single Man,Insomnia,Bride Wars,The Glass House,2024-10-11,Boynton Beach Club,True
Confessions of a Teenage Drama Queen,The Bourne Ultimatum,Righteous Kill,Les triplettes de Belleville,Ladyhawke,Jurassic Park III,In the Cut,2024-10-11,Thr3e,False
The Love Letter,Gangs of New York,Harper,To Die For,Minority Report,My Favorite Martian,Opposite Sex,2024-10-11,Soul Kitchen,False
Nurse 3-D,A Mighty Wind,8 Days,Pirates of the Caribbean: On Stranger Tides,Swing Vote,Ta Ra Rum Pum,Zack and Miri Make a Porno,2024-10-11,Soul Kitchen,False
Hotel Rwanda,Defendor,Chairman of the Board,To Rome with Love,The Purge,Le Nom des gens,The Libertine,2024-10-11,Casino,False
Mystery Men,Charly,Mr. Deeds,Jimmy and Judy,Peggy Sue Got Married,Kiss Kiss Bang Bang,History of the World: Part I,2024-10-12,Little Fockers,False
Donkey Punch,Fruitvale Station,Shooting Fish,I Spy,The Three Musketeers,もののけ姫,Iraq for Sale: The War Profiteers,2024-10-12,2 Guns,False
Prisoners,"Girl, Interrupted",Shallow Hal,Flying By,Yentl,The Namesake,G.I. Joe: Retaliation,2024-10-12,And So It Goes,False
The Amazing Spider-Man,Sorstalanság,Graduation Day,Criminal Activities,Dracula 2000,La misma luna,Won't Back Down,2024-10-12,Saw,False
The Betrayed,The Christmas Candle,Requiem for a Dream,The Matador,The Chronicles of Narnia: Prince Caspian,Chéri,Archaeology of a Woman,2024-10-12,Something Wicked,False
The Timber,Austin Powers in Goldmember,All The Queen's Men,The Time Machine,Elysium,Assault on Precinct 13,Brick Mansions,2024-10-12,Rio 2,False
The Quiet American,Wah-Wah,In the Cut,Rudderless,Heartbeeps,Knock Off,Doug's 1st Movie,2024-10-13,We Have Your Husband,False
On the Road,The Blood of Heroes,Exodus: Gods and Kings,Get on Up,Four Weddings and a Funeral,Beyond the Valley of the Dolls,Big,2024-10-13,Freddy's Dead: The Final Nightmare,False
The Work and The Story,Æon Flux,Fifty Dead Men Walking,The American President,A LEGO Brickumentary,Brown Sugar,The Truman Show,2024-10-13,While We're Young,False
Gone in Sixty Seconds,Bizarre,Pourquoi j'ai pas mangé mon père,Burn After Reading,Veronica Guerin,Born on the Fourth of July,Speed,2024-10-13,The Sweeney,False
The Phantom,The Betrayed,Witless Protection,Guardians of the Galaxy,What's Love Got to Do with It,The Golden Compass,Another Earth,2024-10-13,The Others,False
The Mudge Boy,The Holiday,Bang Bang Baby,Focus,The Tailor of Panama,Antarctic Edge: 70° South,The Longest Day,2024-10-13,Tin Cup,False
Cloud Atlas,The Lone Ranger,Bridget Jones: The Edge of Reason,The Divide,The In Crowd,Dead Man on Campus,The Last House on the Left,2024-10-14,An Unfinished Life,False
A Christmas Story,Grabbers,Marmaduke,Jeepers Creepers 2,Rob Roy,Religulous,Grindhouse,2024-10-14,Battleship,False
Date Movie,Beasts of the Southern Wild,Amnesiac,Nebraska,Role Models,Forty Shades of Blue,Equilibrium,2024-10-14,Family Plot,False
Jackass Presents: Bad Grandpa,End of Watch,Timber Falls,Witless Protection,Water for Elephants,Crash,Grindhouse,2024-10-14,Midnight Cowboy,True
Madagascar 3: Europe's Most Wanted,La misma luna,We Were Soldiers,Under Siege 2: Dark Territory,Pirates of the Caribbean: The Curse of the Black Pearl,Zoolander 2,Joyeux Noël,2024-10-14,Escape from L.A.,True
Awake,Begin Again,Safe Men,Elmer Gantry,Elf,Paranormal Activity 4,Darkness,2024-10-14,Little Fockers,False
The Limey,The Little Prince,Timeline,Tadpole,Christmas with the Kranks,The Red Violin,Seeking a Friend for the End of the World,2024-10-15,Doctor Dolittle,False
Jersey Girl,The Missing Person,Faithful,Metallica: Through the Never,Club Dread,Christmas Mail,Incendies,2024-10-15,Somewhere,False
Captain America: The Winter Soldier,Snow Angels,The FP,Pearl Harbor,Knockaround Guys,The Hudsucker Proxy,Mission to Mars,2024-10-15,National Treasure,False
Donovan's Reef,16 Blocks,Air Bud,eXistenZ,The Fast and the Furious,Shade,Exodus: Gods and Kings,2024-10-15,Wild Card,False
Monty Python and the Holy Grail,"20,000 Leagues Under the Sea",Pay It Forward,Beverly Hills Cop II,"Signed, Sealed, Delivered",The Hills Have Eyes,Where the Heart Is,2024-10-15,Your Highness,False
Princess Kaiulani,Dirty Pretty Things,The Loss of Sexual Innocence,The Haunting,Minions,Child's Play 2,Imagine Me & You,2024-10-15,Show Me,True
The Dark Knight,In the Land of Women,Hoot,Miracle,Pride and Glory,The Possession,The Hobbit: The Battle of the Five Armies,2024-10-16,Ishtar,False
Super Size Me,Juwanna Mann,Samsara,Happy Feet,"Monsters, Inc.",A Mighty Heart,And So It Goes,2024-10-16,Joy,False
Shall We Dance?,Braveheart,Boyz n the Hood,Soul Surfer,The Express,Viy,The Adventures of Rocky & Bullwinkle,2024-10-16,Wicked Blood,False
The Nutcracker,Confessions of a Dangerous Mind,Hope Springs,The Manchurian Candidate,Two Weeks Notice,Tank Girl,Curious George,2024-10-16,While We're Young,False
Black Hawk Down,कृष,Freedom Writers,A Shine of Rainbows,Half Nelson,Alvin and the Chipmunks: The Road Chip,Daybreakers,2024-10-16,Tomorrowland,True
Lone Survivor,Sicario,Exam,Grabbers,xXx: State of the Union,He Got Game,Highlander: Endgame,2024-10-16,Wild Card,False
Freedom,House at the End of the Drive,Teacher's Pet,Bulworth,All About Steve,Bobby Jones: Stroke of Genius,Big Trouble,2024-10-17,Nothing,False
Feast,Butch Cassidy and the Sundance Kid,Савва. Сердце воина,Paul,Resident Evil: Afterlife,Octopussy,Grease,2024-10-17,Vamps,False
Allegiant,Sliding Doors,Battlefield Earth,Compadres,The Machinist,Easy Virtue,Proud,2024-10-17,Sleep Dealer,False
Kundun,Gremlins 2: The New Batch,Dead Man on Campus,Queen of the Damned,Runner Runner,Undisputed,Jupiter Ascending,2024-10-17,The Son of No One,False
All or Nothing,Little Nicky,Copycat,The Rules of Attraction,Flightplan,High Plains Drifter,The Horse Boy,2024-10-17,The Grudge 2,False
Sugar Town,Blood Done Sign My Name,Talladega Nights: The Ballad of Ricky Bobby,P.S. I Love You,Crazy in Alabama,Things We Lost in the Fire,Rollerball,2024-10-17,Road Hard,False
Into the Wild,Spectre,The Green Mile,Banlieue 13,Broken Horses,Piranha 3D,Step Up Revolution,2024-10-18,The International,True
Batman Begins,#Horror,Unsullied,A Simple Wish,Much Ado About Nothing,少林足球,G-Force,2024-10-18,Delgo,True
Running Forever,Beginners,Scrooged,The Day the Earth Stood Still,War of the Worlds,Mallrats,Blue Streak,2024-10-18,Everything Must Go,False
Ready to Rumble,City of Ember,Banlieue 13,Zathura: A Space Adventure,The Last Godfather,The Guilt Trip,Get on Up,2024-10-18,The Young Unknowns,False
Love's Abiding Joy,Hostel,El laberinto del fauno,Memoirs of an Invisible Man,Spider-Man 3,Why Did I Get Married?,The Golden Child,2024-10-18,Fugly,False
Twister,Freaky Deaky,The Birth of a Nation,The Pink Panther,The Brown Bunny,Focus,The Change-Up,2024-10-18,Just Looking,False
Men of War,Salvador,The Incredibly True Adventure of Two Girls In Love,The Expendables 2,The Watch,Kama Sutra - A Tale of Love,Mr. Bean's Holiday,2024-10-19,The Italian Job,False
Django Unchained,Edge of Tomorrow,Beyond the Mat,Time Bandits,Снежная королева,House of Sand and Fog,Son of the Mask,2024-10-19,Aloft,False
The Mask,Alice in Wonderland,A Christmas Story,The Losers,Under the Rainbow,"I, Frankenstein",Brotherly Love,2024-10-19,Soul Survivors,False
Stung,Remember the Titans,Forsaken,崖の上のポニョ,Walking and Talking,Bubble Boy,Hotel for Dogs,2024-10-19,Die Hard,True
Ramona and Beezus,Stormbreaker,Rachel Getting Married,Hot Tub Time Machine 2,Taxi Driver,Mission: Impossible - Ghost Protocol,Best in Show,2024-10-19,Lucky Break,True
P.S. I Love You,Friday the 13th: A New Beginning,Alvin and the Chipmunks: The Road Chip,Albert Nobbs,Insidious: Chapter 3,2046,Holy Motors,2024-10-19,The Devil Inside,False
Lies in Plain Sight,Turbo,The Green Mile,Bad Company,The Brothers Grimm,Chasing Amy,This Christmas,2024-10-20,Wicked Blood,False
Konferenz der Tiere,Just My Luck,Max Keeble's Big Move,Get Rich or Die Tryin',Inchon,Oscar and Lucinda,디워,2024-10-20,Waking Ned,True
Festen,White Noise,The Wild Bunch,Lolita,Ray,Idle Hands,Her Cry: La Llorona Investigation,2024-10-20,Zulu,False
Dark City,Flipped,Child's Play,Saving Mr. Banks,Victor Frankenstein,滿城盡帶黃金甲,Sound of My Voice,2024-10-20,Family Plot,False
I Am Wrath,Cinco de Mayo: La Batalla,Donnie Brasco,The Piano,A Haunted House,Foolish,Vera Drake,2024-10-20,Frailty,False
Under the Rainbow,Far from Heaven,Aliens vs Predator: Requiem,Gli intoccabili,A Guy Named Joe,Street Kings,Sea of Love,2024-10-20,Barry Lyndon,False
Crocodile Dundee in Los Angeles,The Marine,Equilibrium,L!fe Happens,America's Sweethearts,Along the Roadside,Banlieue 13,2024-10-21,Traffic,False
Simon Birch,The To Do List,西游记之孙悟空三打白骨精,Jason Goes to Hell: The Final Friday,Sisters in Law,Oculus,Casablanca,2024-10-21,The Contender,False
Love in the Time of Monsters,Happily N'Ever After,Allegiant,Lords of Dogtown,Congo,Universal Soldier: The Return,Weekend,2024-10-21,The Helix... Loaded,True
He Got Game,A Dangerous Method,Zipper,Taxman,The Hobbit: The Desolation of Smaug,Faithful,Hereafter,2024-10-21,American Psycho,False
Eden,Employee of the Month,Man of the Year,Bandidas,Code of Honor,The Dead Undead,The Walk,2024-10-21,One Flew Over the Cuckoo's Nest,False
The Bad News Bears,3000 Miles to Graceland,Yogi Bear,Fuel,Happiness,Machine Gun Preacher,Kick-Ass,2024-10-21,Cats & Dogs,True
Sunshine,Gamer,Sublime,Machete Kills,Exorcist II: The Heretic,Cry Freedom,Top Gun,2024-10-22,Killer Elite,False
One for the Money,Manito,Love and Death on Long Island,Love in the Time of Cholera,The Last Days on Mars,Independence Day,The Boys from Brazil,2024-10-22,Unknown,False
Chasing Papi,Premonition,Anastasia,Kate & Leopold,The Bodyguard,Flashdance,The Rise of the Krays,2024-10-22,Love Stinks,False
Horrible Bosses 2,Bad Company,American Beauty,The Valley of Decision,Star Trek: The Motion Picture,Biutiful,The Polar Express,2024-10-22,Knowing,False
My Week with Marilyn,Killing Zoe,The Newton Boys,Date Movie,Funny Ha Ha,Jersey Girl,From a Whisper to a Scream,2024-10-22,About a Boy,True
Bait,Did You Hear About the Morgans?,Creed,Close Range,Mud,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Good Will Hunting,2024-10-22,Hot Pursuit,False
Money Talks,From Russia with Love,Philadelphia,The French Connection,Bullets Over Broadway,Flatliners,The Fighter,2024-10-23,Made,False
The Real Cancun,The Huntsman: Winter's War,Mission: Impossible,Iron Man,Sorority Row,Festen,Vampires Suck,2024-10-23,Spring Breakers,False
Q,The Prisoner of Zenda,Why Did I Get Married Too?,Banlieue 13,Sweet Sweetback's Baadasssss Song,A League of Their Own,The Newton Boys,2024-10-23,Love and Other Catastrophes,False
Not Cool,Mercy Streets,Fun Size,Parental Guidance,Ricordati di me,TMNT,Sanctum,2024-10-23,Home,False
Bernie,The Art of Getting By,Autumn in New York,Hard Candy,The Quick and the Dead,Irréversible,The Ladies Man,2024-10-23,Yes,False
The Andromeda Strain,The Day the Earth Stood Still,Road to Perdition,The Water Diviner,"Sex, Lies, and Videotape",Welcome to the Rileys,Rambo III,2024-10-23,Soul Kitchen,False
Passchendaele,金陵十三釵,The Shawshank Redemption,Licence to Kill,The Face of an Angel,The Good Girl,Bicentennial Man,2024-10-24,The Andromeda Strain,False
Home Alone 2: Lost in New York,Mr. Popper's Penguins,The Boys from Brazil,Tombstone,Marley & Me,16 to Life,The Master of Disguise,2024-10-24,Elf,False
"Good Morning, Vietnam",To Save A Life,The Peacemaker,My Boss's Daughter,Tadpole,Edge of Darkness,Hereafter,2024-10-24,Biutiful,False
51 Birch Street,Neal 'n' Nikki,Blue Car,Did You Hear About the Morgans?,The Best Exotic Marigold Hotel,My Baby's Daddy,Training Day,2024-10-24,Airborne,False
Stick It,Club Dread,Darling Lili,Airborne,Gossip,Jane Got a Gun,Zombieland,2024-10-24,How She Move,False
Jurassic Park,Along Came Polly,Pokémon 3: The Movie,8 femmes,Heartbeeps,Mad Max: Fury Road,Angels & Demons,2024-10-24,Something Wicked,False
Zipper,Action Jackson,Airborne,Life of Pi,The Grace Card,The Gambler,Apocalypto,2024-10-25,Tinker Tailor Soldier Spy,False
